tweet_id,retweet_count,reply_count,like_count,quote_count
1585692800997556224,6,0,0,0
1585692800997556224,6,0,0,0
1585692800997556224,6,0,0,0
1585692800997556224,6,0,0,0
1585692800997556224,6,0,0,0
1585692800997556224,6,0,0,0
1585692799948664832,0,0,0,0
1585692799948664832,0,0,0,0
1585692799948664832,0,0,0,0
1585692799948664832,0,0,0,0
1585692798434541571,0,0,0,0
1585692798434541571,0,0,0,0
1585692798434541571,0,0,0,0
1585692798434541571,0,0,0,0
1585692798434541571,0,0,0,0
1585692798434541571,0,0,0,0
1585692797310406656,0,0,1,0
1585692797310406656,0,0,1,0
1585692797310406656,0,0,1,0
1585692797310406656,0,0,1,0
1585692797310406656,0,0,1,0
1585692788724727816,0,0,1,0
1585692788724727816,0,0,1,0
1585692788724727816,0,0,1,0
1585692788724727816,0,0,1,0
1585692788724727816,0,0,1,0
1585692788158763008,50,0,0,0
1585692788158763008,50,0,0,0
1585692788158763008,50,0,0,0
1585692788158763008,50,0,0,0
1585692788158763008,50,0,0,0
1585692788158763008,50,0,0,0
1585692787927818240,0,0,0,0
1585692787927818240,0,0,0,0
1585692787927818240,0,0,0,0
1585692787927818240,0,0,0,0
1585692787927818240,0,0,0,0
1585692784039972865,21,0,0,0
1585692784039972865,21,0,0,0
1585692784039972865,21,0,0,0
1585692784039972865,21,0,0,0
1585692784039972865,21,0,0,0
1585692767455412227,673,0,0,0
1585692767455412227,673,0,0,0
1585692767455412227,673,0,0,0
1585692767455412227,673,0,0,0
1585692767455412227,673,0,0,0
1585692765807050762,38,0,0,0
1585692765807050762,38,0,0,0
1585692765807050762,38,0,0,0
1585692765807050762,38,0,0,0
1585692765807050762,38,0,0,0
1585692765807050762,38,0,0,0
1585692764120940576,0,0,1,0
1585692764120940576,0,0,1,0
1585692764120940576,0,0,1,0
1585692764120940576,0,0,1,0
1585692764120940576,0,0,1,0
1585692764120940576,0,0,1,0
1585692762640613376,643,0,0,0
1585692762640613376,643,0,0,0
1585692762640613376,643,0,0,0
1585692762640613376,643,0,0,0
1585692762640613376,643,0,0,0
1585692762598408197,1790,0,0,0
1585692762598408197,1790,0,0,0
1585692762598408197,1790,0,0,0
1585692762598408197,1790,0,0,0
1585692762598408197,1790,0,0,0
1585692757120647202,0,0,0,0
1585692757120647202,0,0,0,0
1585692757120647202,0,0,0,0
1585692757120647202,0,0,0,0
1585692757120647202,0,0,0,0
1585692753098309637,0,0,0,0
1585692753098309637,0,0,0,0
1585692753098309637,0,0,0,0
1585692753098309637,0,0,0,0
1585692753098309637,0,0,0,0
1585692749847678977,0,1,0,0
1585692749847678977,0,1,0,0
1585692749847678977,0,1,0,0
1585692749847678977,0,1,0,0
1585692749847678977,0,1,0,0
1585692749847678977,0,1,0,0
1585692747528273941,0,0,5,0
1585692747528273941,0,0,5,0
1585692747528273941,0,0,5,0
1585692747528273941,0,0,5,0
1585692744873279510,0,0,0,0
1585692744873279510,0,0,0,0
1585692744873279510,0,0,0,0
1585692744873279510,0,0,0,0
1585692744873279510,0,0,0,0
1585692744265105416,0,1,2,0
1585692744265105416,0,1,2,0
1585692744265105416,0,1,2,0
1585692744265105416,0,1,2,0
1585692744265105416,0,1,2,0
1585692742541533190,4,0,0,0
1585692742541533190,4,0,0,0
1585692742541533190,4,0,0,0
1585692742541533190,4,0,0,0
1585692742541533190,4,0,0,0
1585692742541533190,4,0,0,0
1585692739714285582,0,1,0,0
1585692739714285582,0,1,0,0
1585692739714285582,0,1,0,0
1585692739714285582,0,1,0,0
1585692739714285582,0,1,0,0
1585692728830341120,31,0,0,0
1585692728830341120,31,0,0,0
1585692728830341120,31,0,0,0
1585692728830341120,31,0,0,0
1585692728830341120,31,0,0,0
1585692728830341120,31,0,0,0
1585692728134094848,1790,0,0,0
1585692728134094848,1790,0,0,0
1585692728134094848,1790,0,0,0
1585692728134094848,1790,0,0,0
1585692728134094848,1790,0,0,0
1585692728134094848,1790,0,0,0
1585692723717148675,0,0,2,0
1585692723717148675,0,0,2,0
1585692723717148675,0,0,2,0
1585692723717148675,0,0,2,0
1585692723717148675,0,0,2,0
1585692723717148675,0,0,2,0
1585692719963176960,12,0,51,1
1585692719963176960,12,0,51,1
1585692719963176960,12,0,51,1
1585692719963176960,12,0,51,1
1585692719963176960,12,0,51,1
1585692716452958208,259,0,0,0
1585692716452958208,259,0,0,0
1585692716452958208,259,0,0,0
1585692716452958208,259,0,0,0
1585692716452958208,259,0,0,0
1585692716452958208,259,0,0,0
1585692701852303366,0,0,2,0
1585692701852303366,0,0,2,0
1585692701852303366,0,0,2,0
1585692701852303366,0,0,2,0
1585692680796876800,0,0,1,0
1585692680796876800,0,0,1,0
1585692680796876800,0,0,1,0
1585692680796876800,0,0,1,0
1585692658974208001,0,0,0,0
1585692658974208001,0,0,0,0
1585692658974208001,0,0,0,0
1585692658974208001,0,0,0,0
1585692658974208001,0,0,0,0
1585692658974208001,0,0,0,0
1585692641261387812,8,0,0,0
1585692641261387812,8,0,0,0
1585692641261387812,8,0,0,0
1585692641261387812,8,0,0,0
1585692641261387812,8,0,0,0
1585692641261387812,8,0,0,0
1585692620822544404,1790,0,0,0
1585692620822544404,1790,0,0,0
1585692620822544404,1790,0,0,0
1585692620822544404,1790,0,0,0
1585692620822544404,1790,0,0,0
1585692612589125637,0,0,0,0
1585692612589125637,0,0,0,0
1585692612589125637,0,0,0,0
1585692612589125637,0,0,0,0
1585692611737620480,2580,0,0,0
1585692611737620480,2580,0,0,0
1585692611737620480,2580,0,0,0
1585692611737620480,2580,0,0,0
1585692611737620480,2580,0,0,0
1585692611737620480,2580,0,0,0
1585692610563276805,0,0,0,0
1585692610563276805,0,0,0,0
1585692610563276805,0,0,0,0
1585692610563276805,0,0,0,0
1585692610563276805,0,0,0,0
1585692610563276805,0,0,0,0
