Document Title,Authors,Author Affiliations,Publication Title,Publication Year,Start Page,End Page,PDF Link,Author Keywords,Reference Count,Publisher,Document Identifier
MuSC: A Tool for Mutation Testing of Ethereum Smart Contract,Z. Li; H. Wu; J. Xu; X. Wang; L. Zhang; Z. Chen,Nanjing University; Nanjing University; Nanjing University; Nanjing University; University of Texas at Dallas; Nanjing University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1198,1201,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952206,Blockchain;Ethereum-Smart-Contract;Mutation-Test;Mutation-Operator,20,IEEE,IEEE Conferences
SiMPOSE - Configurable N-Way Program Merging Strategies for Superimposition-Based Analysis of Variant-Rich Software,D. Reuling; U. Kelter; S. Ruland; M. Lochau,"University of Siegen; University of Siegen; Real-Time Systems Lab, TU Darmstadt; Real-Time Systems Lab, TU Darmstadt",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1134,1137,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952245,Program Merging;Model Merging;Software Testing;Family-Based Analyses,12,IEEE,IEEE Conferences
Towards search-based modelling and analysis of requirements and architecture decisions,S. A. Busari,"Software Systems Engineering, Department of Computer Science, University College London, United Kingdom",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),2017,1026,1029,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115725,,26,IEEE,IEEE Conferences
Tool Support for Analyzing Mobile App Reviews,P. M. Vu; H. V. Pham; T. T. Nguyen; T. T. Nguyen,"Comput. Sci. Dept., Utah State Univ., Logan, UT, USA; Comput. Sci. Dept., Utah State Univ., Logan, UT, USA; Comput. Sci. Dept., Utah State Univ., Logan, UT, USA; Comput. Sci. Dept., Utah State Univ., Logan, UT, USA",2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),2015,789,794,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372068,App Review;Opinion Mining;Keyword,11,IEEE,IEEE Conferences
The challenges of verification and validation of automated planning systems (keynote),J. Frank,"NASA Ames Research Center, USA",2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE),2013,2,2,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693059,,,IEEE,IEEE Conferences
Keynotes,,,2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),2015,xxiii,xxv,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7371988,,,IEEE,IEEE Conferences
LED: Tool for Synthesizing Web Element Locators,K. Bajaj; K. Pattabiraman; A. Mesbah,"Univ. of British Columbia, Vancouver, BC, Canada; Univ. of British Columbia, Vancouver, BC, Canada; Univ. of British Columbia, Vancouver, BC, Canada",2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),2015,848,851,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372078,Program synthesis;Programming by example;Element locators;CSS selectors;Web applications,14,IEEE,IEEE Conferences
The bounded model checker LLBMC,S. Falke; F. Merz; C. Sinz,"Institute for Theoretical Computer Science, Karlsruhe Institute of Technology (KIT), Germany; Institute for Theoretical Computer Science, Karlsruhe Institute of Technology (KIT), Germany; Institute for Theoretical Computer Science, Karlsruhe Institute of Technology (KIT), Germany",2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE),2013,706,709,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693138,,21,IEEE,IEEE Conferences
Cobra — An interactive static code analyzer,G. Holzmann,"Nimble Research, Arcadia, CA 91006, USA",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),2017,1,1,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115610,,,IEEE,IEEE Conferences
Measuring Object-Oriented Design Principles,J. Braeuer,"Dept. of Bus. Inf. - Software Eng., Johannes Kepler Univ. Linz, Linz, Austria",2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),2015,882,885,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372084,design principles;software-design quality;softwaredesign assessment method;design model,14,IEEE,IEEE Conferences
Characterizing and taming non-deterministic bugs in Javascript applications,J. Wang,"State Key Lab of Computer Science, Institute of Software, Chinese Academy of Sciences, China, University of Chinese Academy of Sciences, China",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),2017,1006,1009,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115720,JavaScript;Node.js;non-deterministic bug;empirical study;record and replay;bug detection,25,IEEE,IEEE Conferences
Software engineering without borders,A. van Deursen,"Department of Software Technolgy, Delft University of Technology, The Netherlands",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),2017,3,3,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115612,,,IEEE,IEEE Conferences
MetaMod: A Modeling Formalism with Modularity at Its Core,A. ?utîi,"Dept. of Math. & Comput. Sci., Eindhoven Univ. of Technol., Eindhoven, Netherlands",2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),2015,890,893,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372086,modeling;modularity;DSLs,16,IEEE,IEEE Conferences
TRAM: A tool for transforming textual requirements into analysis models,K. J. Letsholo; L. Zhao; E. Chioasca,"School of Computer Science, The University of Manchester, U.K.; School of Computer Science, The University of Manchester, U.K.; School of Computer Science, The University of Manchester, U.K.",2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE),2013,738,741,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693146,Model transformation;natural language processing;conceptual patterns;semantic object models;analysis models,15,IEEE,IEEE Conferences
"Understanding, Refactoring, and Fixing Concurrency in C#",S. Okur,"Univ. of Illinois at Urbana-Champaign, Urbana, IL, USA",2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),2015,898,901,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372088,,25,IEEE,IEEE Conferences
Privacy-aware data-intensive applications,M. Guerriero,"Politecnico di Milano, DEIB, Italy",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),2017,1030,1033,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115726,Data Privacy;Data-Intensive Applications;Big Data;Dataflow computing,11,IEEE,IEEE Conferences
Clone Merge -- An Eclipse Plugin to Abstract Near-Clone C++ Methods,K. Narasimhan,NA,2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),2015,819,823,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372073,Refactoring;Eclipse;CDT;Clone;Evolution;Abstraction,7,IEEE,IEEE Conferences
BOOM: Experiences in language and tool design for distributed systems (keynote),J. M. Hellerstein,"University of California at Berkeley, USA",2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE),2013,1,1,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693058,,,IEEE,IEEE Conferences
Tool support for automatic model transformation specification using concrete visualisations,I. Avazpour; J. Grundy; L. Grunske,"Faculty of ICT, Centre for Computing and Engineering Software and Systems (SUCCESS), Swinburne University of Technology, Hawthorn 3122, VIC, Australia; Faculty of ICT, Centre for Computing and Engineering Software and Systems (SUCCESS), Swinburne University of Technology, Hawthorn 3122, VIC, Australia; Institute of Software Technology, Universität Stuttgart, Universitätsstraße 38, D-70569, Germany",2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE),2013,718,721,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693141,,9,IEEE,IEEE Conferences
Mining structures from massive text data: Will it help software engineering?,J. Han,"Abel Bliss Professor, Department of Computer Science, University of Illinois at Urbana-Champaign, USA",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),2017,2,2,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115611,,,IEEE,IEEE Conferences
Crushinator: A framework towards game-independent testing,C. Schaefer; Hyunsook Do; B. M. Slator,"North Dakota State University, Computer Science, Fargo, USA; North Dakota State University, Computer Science, Fargo, USA; North Dakota State University, Computer Science, Fargo, USA",2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE),2013,726,729,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693143,Crushinator;model-based testing;exploratory testing;event-driven applications,14,IEEE,IEEE Conferences
Towards API-specific automatic program repair,S. Nielebock,"Chair of Software Engineering, Faculty of Computer Science, Otto-von-Guericke University Magdeburg, Germany",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),2017,1010,1013,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115721,Automatic Program Repair;API-specific Bugs;Specification Mining,38,IEEE,IEEE Conferences
Developing self-verifying service-based systems,R. Calinescu; K. Johnson; Y. Rafiq,"Department of Computer Science, University of York, UK; Department of Computer Science, University of York, UK; Department of Computer Science, University of York, UK",2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE),2013,734,737,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693145,,16,IEEE,IEEE Conferences
A Generic Framework for Concept-Based Exploration of Semi-Structured Software Engineering Data,G. J. Greene,"Centre for Artificial Intell. Res. Comput. Sci. Div., Matieland Stellenbosch Univ., Stellenbosch, South Africa",2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),2015,894,897,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372087,formal concept analysis;tag clouds;browsing software repositories,21,IEEE,IEEE Conferences
Automatic Self-Validation for Code Coverage Profilers,Y. Yang; Y. Jiang; Z. Zuo; Y. Wang; H. Sun; H. Lu; Y. Zhou; B. Xu,Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,79,90,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952463,"Code coverage, Metamorphic testing, Coverage profilers, Bug detection.",51,IEEE,IEEE Conferences
Machine Learning Based Recommendation of Method Names: How Far are We,L. Jiang; H. Liu; H. Jiang,Beijing Institute of Technology; Beijing Institute of Technology; Dalian University of Technology,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,602,614,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952208,Code Recommendation;Machine Learning,46,IEEE,IEEE Conferences
