Document Title,Authors,Author Affiliations,Publication Title,Publication Year,Start Page,End Page,PDF Link,Author Keywords,Reference Count,Publisher,Document Identifier
mCUTE: A Model-Level Concolic Unit Testing Engine for UML State Machines,R. Ahmadi; K. Jahed; J. Dingel,Queen's University; Queen's University; Queen's University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1182,1185,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952438,"Concolic Testing, MDE, State machines, Unit Testing, UML",22,IEEE,IEEE Conferences
LIRAT: Layout and Image Recognition Driving Automated Mobile Testing of Cross-Platform,S. Yu; C. Fang; Y. Feng; W. Zhao; Z. Chen,Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1066,1069,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952513,Cross-Platform Testing;Image Recognition;Record and Replay,11,IEEE,IEEE Conferences
Automatic Generation of Graphical User Interface Prototypes from Unrestricted Natural Language Requirements,K. Kolthoff,"Institute for Enterprise Systems (InES), University of Mannheim",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1234,1237,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952477,Graphical;User;Interface;Automatic;GUI;Generation;Processing;Natural;Language;Requirements;Intelligent;Interaction;Prototyping,29,IEEE,IEEE Conferences
SPrinter: A Static Checker for Finding Smart Pointer Errors in C++ Programs,X. Ma; J. Yan; Y. Li; J. Yan; J. Zhang,"Institute of Software, Chinese Academy of Sciences; Institute of Software, Chinese Academy of Sciences; Institute of Software, Chinese Academy of Sciences; Institute of Software, Chinese Academy of Sciences; Institute of Software, Chinese Academy of Sciences",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1122,1125,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952230,C++ Smart Pointer;Memory Error;Coding Styles,12,IEEE,IEEE Conferences
PMExec: An Execution Engine of Partial UML-RT Models,M. Bagherzadeh; K. Jahed; N. Kahani; J. Dingel,Queen's University; Queen's University; Queen's University; Queen's University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1178,1181,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952369,MDD;Partial Models;Execution;Debugging;Model level debugging;Model execution,12,IEEE,IEEE Conferences
TestCov: Robust Test-Suite Execution and Coverage Measurement,D. Beyer; T. Lemberger,LMU Munich; LMU Munich,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1074,1077,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952265,"Test Execution, Coverage, Test-Suite Reduction",13,IEEE,IEEE Conferences
Improving Patch Quality by Enhancing Key Components of Automatic Program Repair,M. Soto,Carnegie Mellon University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1230,1233,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952342,"Automatic Program Repair, Patch Quality",19,IEEE,IEEE Conferences
PTracer: A Linux Kernel Patch Trace Bot,Y. Wen; J. Cao; S. Cheng,ZTE Corporation; ZTE Corporation; ZTE Corporation,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1210,1211,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952485,Linux kernel;patch identification;trace bot,7,IEEE,IEEE Conferences
AutoFocus: Interpreting Attention-Based Neural Networks by Code Perturbation,N. D. Q. Bui; Y. Yu; L. Jiang,"Singapore Management University; The Open University, UK; Singapore Management University",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,38,41,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952269,"attention mechanisms, neural networks, algorithm classification, interpretability, explainability, code perturbation, program comprehension",17,IEEE,IEEE Conferences
VeriAbs : Verification by Abstraction and Test Generation,M. Afzal; A. Asia; A. Chauhan; B. Chimdyalwar; P. Darke; A. Datar; S. Kumar; R. Venkatesh,"Tata Research Development and Design Center, India; Tata Research Development and Design Center, India; Tata Research Development and Design Center, India; Tata Research Development and Design Center, India; Tata Research Development and Design Center, India; Tata Research Development and Design Center, India; Tata Research Development and Design Center, India; Tata Research Development and Design Center, India",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1138,1141,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952452,Software Verification;Strategy Selection;Portfolio Verifier;Loop Abstraction;Array Abstraction;Bounded Model Checking;Fuzz Testing;Loop Invariant Generation;Value Analysis,27,IEEE,IEEE Conferences
