user_id,name,username,location,profile_image_url,created_at
1528856711725031425,CORPUS,corpus_news,"North Carolina, USA",https://pbs.twimg.com/profile_images/1528858015218208769/cJqUc7-P_normal.png,2022-05-23T21:54:40.000Z
1528856711725031425,CORPUS,corpus_news,"North Carolina, USA",https://pbs.twimg.com/profile_images/1528858015218208769/cJqUc7-P_normal.png,2022-05-23T21:54:40.000Z
76876755,RANJIT GAWANDE,ranjitgawande,NASIK,https://pbs.twimg.com/profile_images/1157935149218054144/7SKgytAn_normal.jpg,2009-09-24T06:50:29.000Z
76876755,RANJIT GAWANDE,ranjitgawande,NASIK,https://pbs.twimg.com/profile_images/1157935149218054144/7SKgytAn_normal.jpg,2009-09-24T06:50:29.000Z
1549067310165549062,Señala,Senalaguate,Guatemala,https://pbs.twimg.com/profile_images/1549067806108487680/JTjszgLd_normal.jpg,2022-07-18T16:23:35.000Z
1549067310165549062,Señala,Senalaguate,Guatemala,https://pbs.twimg.com/profile_images/1549067806108487680/JTjszgLd_normal.jpg,2022-07-18T16:23:35.000Z
921818714,JD,Codigo1990,Guatemala,https://pbs.twimg.com/profile_images/1358453221765840898/Lf_o2e6R_normal.jpg,2012-11-02T21:26:21.000Z
894944482856058880,Stik2Sports,stik2sports,"MESA ARIZONA (via, NE Ohio)",https://pbs.twimg.com/profile_images/1587514736815456258/nRBeEfbZ_normal.jpg,2017-08-08T15:32:46.000Z
186880233,ALMorleiva,AvatthaNikehori,Guatemala City,https://pbs.twimg.com/profile_images/1315712389220831233/-FGlvZW6_normal.jpg,2010-09-04T17:14:39.000Z
251918047,Lourdes 🇬🇹♥️,lulicar4,Guatemala,https://pbs.twimg.com/profile_images/1477335327618568198/R7vpV1eO_normal.jpg,2011-02-14T03:14:06.000Z
1252471063730106368,Real News Hub,realnewshubs,United States,https://pbs.twimg.com/profile_images/1522756229172400128/w1vyhpl6_normal.jpg,2020-04-21T05:36:12.000Z
1252471063730106368,Real News Hub,realnewshubs,United States,https://pbs.twimg.com/profile_images/1522756229172400128/w1vyhpl6_normal.jpg,2020-04-21T05:36:12.000Z
1272479318447230977,A Random User,onepostguy,RA 11h 15m 41s | Dec +5° 47′ 3,https://pbs.twimg.com/profile_images/1275442563076386816/dNaffm6M_normal.jpg,2020-06-15T10:41:52.000Z
715198343001952259,Tech Deals,TechDeals_16,Pale Blue Dot,https://pbs.twimg.com/profile_images/1308842289796612097/O955TxSQ_normal.jpg,2016-03-30T15:25:47.000Z
715198343001952259,Tech Deals,TechDeals_16,Pale Blue Dot,https://pbs.twimg.com/profile_images/1308842289796612097/O955TxSQ_normal.jpg,2016-03-30T15:25:47.000Z
793108297402286080,Amii,AmiiThinks,"Edmonton, Alberta, Canada",https://pbs.twimg.com/profile_images/1283113256450617344/LtPzOITn_normal.jpg,2016-10-31T15:12:08.000Z
793108297402286080,Amii,AmiiThinks,"Edmonton, Alberta, Canada",https://pbs.twimg.com/profile_images/1283113256450617344/LtPzOITn_normal.jpg,2016-10-31T15:12:08.000Z
101569379,Randy Sharber,RandySharber,"Columbia, Tennessee",https://pbs.twimg.com/profile_images/2787247955/0499f0c52c1ce4c2dec8bc79362168a7_normal.jpeg,2010-01-03T20:50:32.000Z
101569379,Randy Sharber,RandySharber,"Columbia, Tennessee",https://pbs.twimg.com/profile_images/2787247955/0499f0c52c1ce4c2dec8bc79362168a7_normal.jpeg,2010-01-03T20:50:32.000Z
2952563498,daanes,AntulioDany,Guatemala,https://pbs.twimg.com/profile_images/1587161761500876805/xRtHtbUE_normal.jpg,2014-12-30T19:44:47.000Z
335176229,Eestermans 🇬🇹 🇳🇱,m_eestermans,Guatemala,https://pbs.twimg.com/profile_images/1492375707237900288/KoTB0kp9_normal.jpg,2011-07-14T08:17:22.000Z
226953533,Alex Molina 🇬🇹,l3xmolina,"Guatemala, Guatemala",https://pbs.twimg.com/profile_images/1529634782191271936/OLbH3KBV_normal.jpg,2010-12-15T14:31:30.000Z
364357959,Memorial Engineering,MUN_Engineering,"St. John's, NL",https://pbs.twimg.com/profile_images/1138061869493698560/Wm5yPUKM_normal.png,2011-08-29T16:53:23.000Z
364357959,Memorial Engineering,MUN_Engineering,"St. John's, NL",https://pbs.twimg.com/profile_images/1138061869493698560/Wm5yPUKM_normal.png,2011-08-29T16:53:23.000Z
1484125734264315904,eHome,EHomein,"Chennai, Tamil Nadu, India",https://pbs.twimg.com/profile_images/1484125887998144512/PRtobR7a_normal.png,2022-01-20T11:29:19.000Z
1484125734264315904,eHome,EHomein,"Chennai, Tamil Nadu, India",https://pbs.twimg.com/profile_images/1484125887998144512/PRtobR7a_normal.png,2022-01-20T11:29:19.000Z
1252471063730106368,Real News Hub,realnewshubs,United States,https://pbs.twimg.com/profile_images/1522756229172400128/w1vyhpl6_normal.jpg,2020-04-21T05:36:12.000Z
1252471063730106368,Real News Hub,realnewshubs,United States,https://pbs.twimg.com/profile_images/1522756229172400128/w1vyhpl6_normal.jpg,2020-04-21T05:36:12.000Z
760131372979785728,Tara Nattrass,tara_nattrass,"Arlington, VA",https://pbs.twimg.com/profile_images/760133468437307392/sXwUAZVn_normal.jpg,2016-08-01T15:13:36.000Z
2629489590,NEO-EXPOSINGTRUTH,higginsgggg,"laJolla, CA",https://pbs.twimg.com/profile_images/493927722721087489/hVvsQiEL_normal.jpeg,2014-07-12T20:01:38.000Z
2629489590,NEO-EXPOSINGTRUTH,higginsgggg,"laJolla, CA",https://pbs.twimg.com/profile_images/493927722721087489/hVvsQiEL_normal.jpeg,2014-07-12T20:01:38.000Z
437193941,Kyleigh Jo Lewis,kyjo41,"Omaha, NE",https://pbs.twimg.com/profile_images/1435788083404935171/e7bqLnAo_normal.jpg,2011-12-15T03:39:47.000Z
15043650,chrismo,the_chrismo,"denton, tx",https://pbs.twimg.com/profile_images/694396321411649536/Til_oHwC_normal.png,2008-06-08T02:42:29.000Z
15043650,chrismo,the_chrismo,"denton, tx",https://pbs.twimg.com/profile_images/694396321411649536/Til_oHwC_normal.png,2008-06-08T02:42:29.000Z
1017942006616780800,₵ⱤɎ₱₮Ø₮ł₳₦ 🚀,THE25KEYS,"Boston, MA",https://pbs.twimg.com/profile_images/1585738405572448262/632RH3TV_normal.jpg,2018-07-14T01:21:01.000Z
1017942006616780800,₵ⱤɎ₱₮Ø₮ł₳₦ 🚀,THE25KEYS,"Boston, MA",https://pbs.twimg.com/profile_images/1585738405572448262/632RH3TV_normal.jpg,2018-07-14T01:21:01.000Z
809392810692640768,IEEE YP Central TX,ieeeypctx,"Texas, USA",https://pbs.twimg.com/profile_images/1307355998588489732/lyS-O9KY_normal.jpg,2016-12-15T13:40:58.000Z
809392810692640768,IEEE YP Central TX,ieeeypctx,"Texas, USA",https://pbs.twimg.com/profile_images/1307355998588489732/lyS-O9KY_normal.jpg,2016-12-15T13:40:58.000Z
411419084,Rahul,rahul05ranjan,"Chandigarh, India",https://pbs.twimg.com/profile_images/1437048779111157762/NCbpwF8g_normal.jpg,2011-11-13T11:40:23.000Z
411419084,Rahul,rahul05ranjan,"Chandigarh, India",https://pbs.twimg.com/profile_images/1437048779111157762/NCbpwF8g_normal.jpg,2011-11-13T11:40:23.000Z
745379870964850688,Ashar Mobeen,AsharMobeen,"Gujranwala, Pakistan",https://pbs.twimg.com/profile_images/1580668446194409478/qiLBEIVQ_normal.jpg,2016-06-21T22:16:24.000Z
52220019,IEEE ComputerSociety,ComputerSociety,Global,https://pbs.twimg.com/profile_images/1473003728651243522/ZPQNq5AG_normal.jpg,2009-06-29T22:56:02.000Z
52220019,IEEE ComputerSociety,ComputerSociety,Global,https://pbs.twimg.com/profile_images/1473003728651243522/ZPQNq5AG_normal.jpg,2009-06-29T22:56:02.000Z
2183476064,CodeVA,codeVirginia,Virginia,https://pbs.twimg.com/profile_images/1317243925615284224/56K1FWmC_normal.jpg,2013-11-09T03:09:53.000Z
